<<<<<<< HEAD
<<<<<<< HEAD
=======
156822,"C.A.P.S. 212 Nuestra Señora De Los Milagros ","Centro de Salud Público","Ruta  24","Km. 16",,,"Colonia Segovia","Colonia Segovia",Guaymallén,Mendoza,Argentina,1,,,-32.8894587,-68.8458386,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261)  155389004",area-guaymallen@mendoza.gov.ar,,"Dra. Patricia S. Carrizo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156832,"C.A.P.S. 213 Los Compartos ","Centro de Salud Público",10,,,,"Los Compartos","General Alvear","General Alvear",Mendoza,Argentina,1,,,-32.8894587,-68.8458386,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(02625) 426572",area-alvear@mendoza.gov.ar,,"Dr. Armando Kaplug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156842,"C.A.P.S. 214 Barrio Lihue ","Centro de Salud Público","Barrio Lihué, Pedro Molina",,,"Colón, Guaymallén","San José","San José",Guaymallén,Mendoza,Argentina,1,,,-32.8885247,-68.8236754,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261)  4453054",area-guaymallen@mendoza.gov.ar,,"Dra. Susana Martín",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156852,"C.A.P.S. 216 Malvinas Argentinas ","Centro de Salud Público","Barrio República Del Paraguay",,,,"Buena Nueva","Buena Nueva",Guaymallén,Mendoza,Argentina,1,,,-32.902497,-68.75062,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261)  4512114",area-guaymallen@mendoza.gov.ar,,"Dra. Alejandra L. Cavagnaro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156862,"C.A.P.S. 217 Los Olivos ","Centro de Salud Público","Manuel A. Saenz",8253,,,Carrodilla,Carrodilla,"Luján De Cuyo",Mendoza,Argentina,1,,,-32.9621739,-68.8431415,1,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261) 4363923",arealujan@hotmail.com,,"Dra Castilla María",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156872,"C.A.P.S. 218 Los Alerces ","Centro de Salud Público","Terrada  Carrodilla Luján De Cuyo",,,,Carrodilla,Carrodilla,"Luján De Cuyo",Mendoza,Argentina,1,,,-32.966671,-68.86666869999999,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261) 4363915",arealujan@hotmail.com,,"María Teresa Bechara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156882,"C.A.P.S. 219 San Cayetano ","Centro de Salud Público",Tabanera,8621,,,"Colonia Segovia","Colonia Segovia",Guaymallén,Mendoza,Argentina,1,,,-32.8894587,-68.8458386,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261)  156515590",area-guaymallen@mendoza.gov.ar,,"Dra. Susana T. Bonilla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156892,"C.A.P.S. 220 El Calden ","Centro de Salud Público","Pedro E. Giachino",1024,,,"Estación colonia Alvear Norte","General Alvear","General Alvear",Mendoza,Argentina,1,,,-32.8894587,-68.8458386,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(02625) 426572",area-alvear@mendoza.gov.ar,,"Dra. Mariela Ascoitia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156902,"C.A.P.S. 221 San Francisco De Asis ","Centro de Salud Público","Barrio Democracia",,,,"El Zapallar","El Zapallar","Las Heras",Mendoza,Argentina,1,,,-32.8894587,-68.8458386,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261) 4484336",area-lasheras@mendoza.gov.ar,,"Dr. Gustavo F. Gómez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
156912,"C.A.P.S. 222 Rene Favaloro ","Centro de Salud Público",Matienzo,2073,,,"Pedro Molina","Pedro Molina",Guaymallén,Mendoza,Argentina,1,,,-32.875,-68.81694399999999,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0261)  4502020",area-guaymallen@mendoza.gov.ar,,"Dra. María I. Urrutigoity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
