209376,"Centro de Salud Nº 92 ( Ex Upas Nº 30 Cortaderas)","Centro de Salud Público","Bv. De los Polacos",7500,,,,Córdoba,Capital,Córdoba,Argentina,1,,,-31.3386476,-64.2322976,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209377,"Centro de Salud Nº 77 ( Ex Upas Nº 13 Don Bosco )","Centro de Salud Público","Juan Bautista Guerra",6894,,,,Córdoba,Capital,Córdoba,Argentina,1,,,-31.3849386,-64.2716078,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209379,"Centro de Salud Nº 63 - Parque Republica (Ex-Upas Nº 33 Parque Republica)","Centro de Salud Público",Faine,5444,,,,Córdoba,Capital,Córdoba,Argentina,1,,,-31.4200833,-64.1887761,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209380,"Centro de Salud Nº 95 Cooperativa El Arca (Ex-Upas Nº 34 Cooperativa El Arca)","Centro de Salud Público","Camino 60 Cuadras","Km. 3.5 - Calle Publica",,,,Córdoba,Capital,Córdoba,Argentina,1,,,-31.4200833,-64.1887761,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209381,"Centro de Salud Nº 60 Bº Marquez Anexo","Centro de Salud Público","Del Molino",,,"Del Precursor",,Córdoba,Capital,Córdoba,Argentina,1,,,-31.3716202,-64.1931973,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209382,"Direcc. de Salud Estudiantil-Univ Nac de Córdoba",,"Filioy Ciudad Universitaria",,,,,Córdoba,Córdoba,Córdoba,Argentina,-1,,,-31.4200833,-64.1887761,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209383,"Upas Nº 35","Centro de Salud Público","Calle Publica Nº 1",,,"Pje. Miranda y Olmedo",,Córdoba,Capital,Córdoba,Argentina,1,,,-31.4200833,-64.1887761,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209384,"Upas Nº 36 (Cic Bº Cabildo)","Centro de Salud Público",Colorado,,,"Guaiman ",,Córdoba,Capital,Córdoba,Argentina,1,,,-31.4754339,-64.2348386,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209385,"Centro Comunitario Alberdi-Espacio Salud Guillermo Lucena Gallo","Centro de Salud Público","Dr. Juan Cafferata",511,,,,Córdoba,Capital,Córdoba,Argentina,1,,,-31.3988627,-64.22034,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209386,"Centro de Salud Gral Savio","Centro de Salud Público","Escolastico Magan",800,,,,Córdoba,Capital,Córdoba,Argentina,1,,,-31.3714068,-64.1554132,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
