<<<<<<< HEAD
<<<<<<< HEAD
209890,"Puesto Sanitario El Rastreador","Centro de Salud Público","Calle 6",,,,,"El Rastreador","Juárez Celman",Córdoba,Argentina,1,,,-33.6652366,-63.5393806,1,,SI,NO,SI,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209891,"Hospital Municipal Gral Cabrera","Hospital Público","Las Heras",1090,,,,"General Cabrera","Juárez Celman",Córdoba,Argentina,1,,,-32.813335,-63.872655,1,,SI,NO,SI,SI,SI,SI,NO,"(0358) 493001",,,,,,,,,,,,,,"(0358) 493001",,,,,,,"(0358) 493001",,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,"(0358) 493001",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209893,"H.M. Huanchilla",,"Pedro Selinger",,,,,Huanchillas,"Juárez Celman",Córdoba,Argentina,-1,,,-33.6677244,-63.6350315,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209894,"Dispensario Municpal Bº Norte Dr Julio Hugo Alonso","Centro de Salud Público","Pablo Guzmán",387,,,,"La Carlota","Juárez Celman",Córdoba,Argentina,-1,,,-33.4180372,-63.2970015,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209895,"Centro de Salud Punta Del Sauce","Centro de Salud Público","José Hernández",550,,,,"La Carlota","Juárez Celman",Córdoba,Argentina,1,,,-33.4201908,-63.3100152,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209896,"Hospital  San Antonio","Hospital Público","Av. Dr. Enrique Gauna",1251,,,,"La Carlota","Juárez Celman",Córdoba,Argentina,1,,,-33.4235384,-63.3045568,1,,SI,NO,SI,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209899,"Puesto Sanitario Pacheco De Melo","Centro de Salud Público","San Martin",,,Italia,,"Pacheco de Melo","Juárez Celman",Córdoba,Argentina,1,,,-33.7584439,-63.4909422,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209901,"Hospital Municipal Ramon Cariillo","Hospital Público",Urquiza,557,,,,"Santa Eufemia","Juárez Celman",Córdoba,Argentina,1,,,-33.1763441,-63.2874835,1,,SI,NO,NO,SI,SI,SI,NO,"(03584) 491002",,,,,,,,,,,,,,,,,,,,,"(03584) 491002",,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,"(03584) 491002",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209903,"Hospital Municipal Alejo Ledesma","Hospital Público","Roque Sáenz Peña",337,,,,"Alejo Ledesma","Marcos Juárez",Córdoba,Argentina,1,,,-33.6043499,-62.6207576,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209904,"Hosp. Munic. Arias","Hospital Público","Av. España",1448,,,,Arias,"Marcos Juárez",Córdoba,Argentina,1,,,-33.6405405,-62.4020043,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209907,"Dispensario Municipal Dr Walter Jaggli",,"Juan José Paso",313,,,,Cavanagh,"Marcos Juárez",Córdoba,Argentina,-1,,,-33.4817466,-62.3386909,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209908,"Centro De Atencion Primaria Colonia Barge","Centro de Salud Público","Calle Publica .  Frente A  La Iglesia",,,,,"Colonia Barge","Marcos Juárez",Córdoba,Argentina,1,,,-33.2582139,-62.6074888,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209909,"Centro Medico Municipal","Centro de Salud Público","Islas Malvina",,,,,"Colonia Italiana","Marcos Juárez",Córdoba,Argentina,1,,,-33.3124123,-62.1774483,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209910,"Centro Asistencial Corral De Bustos","Centro de Salud Público","Bvar Fauda",256,,,,"Corral De Bustos","Marcos Juárez",Córdoba,Argentina,1,,,-33.2790258,-62.1852103,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209911,"Hospital Pedro Vella","Hospital Público",Rosario,300,,,,"Corral De Bustos","Marcos Juárez",Córdoba,Argentina,1,,,-33.2857538,-62.193463,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209912,"Hospital VecinalCruz Alta","Hospital Público","Gral Jose De San Martin",313,,,,"Cruz Alta","Marcos Juárez",Córdoba,Argentina,1,,,-33.0072364,-61.8094146,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209913,"Hospital Municipal General  Baldisera","Hospital Público",Córdoba,383,,,,"General Baldissera","Marcos Juárez",Córdoba,Argentina,1,,,-33.1227632,-62.3023981,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209914,"Hospital Municipal General Roca","Hospital Público","Juan José Paso",323,,,,"General Roca","Marcos Juárez",Córdoba,Argentina,1,,,-32.7290352,-61.9137926,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209917,"Hospital Municipal De Isla Verde","Hospital Público","Buenos Aires",128,,,,"Isla Verde","Marcos Juárez",Córdoba,Argentina,1,,,-33.2447423,-62.4042158,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209919,"Dispensario Bº Norte","Centro de Salud Público",Benvenuto,,,Isabel,,Leones,"Marcos Juárez",Córdoba,Argentina,1,,,-32.6492357,-62.3007519,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209920,"Dispensario Bº Sur","Centro de Salud Público",Alberdi,,,Patagonia,,Leones,"Marcos Juárez",Córdoba,Argentina,1,,,-32.6684611,-62.2974466,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209924,"Centro Periferico Nº 02","Centro de Salud Público",Rawson,692,,,,"Marcos Juárez","Marcos Juárez",Córdoba,Argentina,1,,,-32.7046725,-62.1203212,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209925,"Centro Periferico Nº 03","Centro de Salud Público",Hernández,1748,,,,"Marcos Juárez","Marcos Juárez",Córdoba,Argentina,1,,,-32.6829951,-62.1121877,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209926,"Hospital  Dr Abel Ayerza","Hospital Público","Av. Belgrano",350,,,,"Marcos Juárez","Marcos Juárez",Córdoba,Argentina,1,,,-32.6970418,-62.0964854,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209928,"Hospital Eugenio Raviolo","Hospital Público","Buenos Aires",,,Mitre,,Saira,"Marcos Juárez",Córdoba,Argentina,1,,,-32.4074948,-62.1027952,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209929,"Ps De Saladillo","Centro de Salud Público","24 De Setiembre",,,"Ruta Prov 6",,Saladillo,"Marcos Juárez",Córdoba,Argentina,1,,,-32.932682,-62.3439865,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209930,"Dispensario Comunal","Centro de Salud Público","Calle Publica",,,,,"Villa Elisa","Marcos Juárez",Córdoba,Argentina,1,,,-32.8333282,-62.2999992,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209931,"Puesto Sanitario Agua De Ramon","Centro de Salud Público",Publica,,,,,Minas,Minas,Córdoba,Argentina,1,,,-30.7949773,-65.3638566,1,,SI,NO,SI,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209932,"Dispensario Cienaga Del Coro","Centro de Salud Público","Pedro Aparicio",,,"Gonzalo Ardiles",,"Ciénaga del Coro",Minas,Córdoba,Argentina,1,,,-31.0491404,-65.3003044,1,,SI,NO,SI,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209933,"Puesto Sanitario El Chacho","Centro de Salud Público","Ruta Nacional 32, Calle 2Da.",,,,,"El Chacho",Minas,Córdoba,Argentina,1,,,-30.8009255,-65.6556039,1,,SI,NO,SI,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209935,"Dispensario (Cic Toledo)","Centro de salud pública","25 De Mayo",,,,,Toledo,"Santa María",Córdoba,Argentina,-1,,,-31.5538567,-64.0063083,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
