211117,"Centro Periferico Villa Celestina","Centro de salud público","Av. los Alamos",1980,,,,"Villa Mercedes","General Pedernera","San Luis",Argentina,-1,,,-33.6582566,-65.4529973,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211118,"Centro Periferico B° Belgrano","Centro de salud público",Belgrano,1782,,,,"Villa Mercedes","General Pedernera","San Luis",Argentina,-1,,,-33.6594566,-65.4606952,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211122,"Centro de Salud Las Chacras N° 60","Centro de salud público","San Martín",,,"Juan C. Lafinur",,"San Luis","Juan Martín de Pueyrredón","San Luis",Argentina,1,,,-33.2983645,-66.3390557,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211124,"Centro de Salud Carpinteria","Centro de salud público",Pringles,,,,,Carpintería,Junín,"San Luis",Argentina,1,,,-32.41104201287,-65.01767097,1,,SI,NO,NO,SI,NO,SI,NO,NO,"(02656) 479157",,,,,,,,,,,,,,,,,,,,,"(02656) 479157",,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,"(02656) 479157",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211125,"Centro de Salud La Botija","Centro de salud público","A 80 Km del Hosp. de Lujan",,,,"Paraje La Botija",Candelaria,Ayacucho,"San Luis",Argentina,1,,,-32.2365151,-66.5793741,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211127,"Centro de Salud Bartavia","Centro de salud público",,,,"A 60 Km del Hospital Base",,Batavia,"Gobernador Dupuy","San Luis",Argentina,-1,,,-34.778339,-65.6889985,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211128,"Centro de salud Los Chañares","Centro de salud público",,,,"A 25 Km del Hospital de Santa Rosa",,"Los Chañares",Junín,"San Luis",Argentina,1,,,-32.25,-65.3499985,1,,SI,NO,NO,SI,NO,SI,NO,NO,"(02664) 452000 int 5207",,,,,,,,,,,,,,,,,,,,,"(02664) 452000 int 5207",,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,"(02664) 452000 int 5207",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211129,"Centro de Salud San Felipe","Centro de salud público","A 15 Km del Centro por Camino de Tierra",,,,,"San Felipe",Chacabuco,"San Luis",Argentina,1,,,-32.8499985,-65.4833298,1,,SI,NO,NO,SI,NO,SI,NO,NO,"(02664) 452000 int 5313",,,,,,,,,,,,,,,,,,,,,"(02664) 452000 int 5313",,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,"(02664) 452000 int 5313",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211130,"Centro de Salud El Suyuque","Centro de salud público","A 40 Km del Hospital",,,,,"Suyuque Nuevo","Juan Martín de Pueyrredón","San Luis",Argentina,1,,,-33.1333313,-66.2666702,1,,SI,NO,NO,SI,NO,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211131,"Centro de Salud El Morro","Centro de salud público","Cerros del Morro",,,,,"La Toma","Coronel Pringles","San Luis",Argentina,1,,,-33.0493984,-65.6178153,1,,SI,NO,NO,SI,NO,SI,NO,NO,"(02664) 452000 int 5410",,,,,,,,,,,,,,,,,,,,,"(02664) 452000 int 5410",,,,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,,,,,,"(02664) 452000 int 5410",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
