210703,"El Vergel 40","Centro de Salud",Dorrego,,,,"El Vergel","El Vergel",Lavalle,Mendoza,Argentina,1,,,-32.7999992,-68.6333313,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210704,"Gustavo Andre 44","Centro de Salud",Moyano,,,,"Ingeniero Gustavo Andre","Ingeniero Gustavo Andre",Lavalle,Mendoza,Argentina,1,,,-32.7013357,-68.3190576,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210705,"Centro De Salud N 45 Jocoli","Centro de Salud","Ruta 40 Km 41 1/2",,,,"Jocoli Viejo","Jocoli Viejo",Lavalle,Mendoza,Argentina,1,,,-32.7017372,-68.6526696,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210706,"San Miguel 48","Centro de Salud","Ruta Altas Cumbres, (Km 33 Desde Control Gendarmes",,,,"Los Sauces","Los Sauces",Lavalle,Mendoza,Argentina,1,,,-32.2884688,-67.5080337,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210707,"El Retamo 49","Centro de Salud","Calle Principal Ruta Altas Cumbres. Km 187",,,,"El Retamo","El Retamo",Lavalle,Mendoza,Argentina,1,,,-32.4556473,-67.380976,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210708,"Posta 501 La Pega","Centro de Salud","Ruta 24",,,Lavalle,"La Pega","La Pega",Lavalle,Mendoza,Argentina,1,,,-32.7999992,-68.6666718,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210709,"Posta 502 El Plumero","Centro de Salud","El Plumero",,,"Don Bosco",Lavalle,Lavalle,Lavalle,Mendoza,Argentina,1,,,-32.6758333,-68.4536111,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210710,"Posta 508 El Carmen","Centro de Salud",Lavalle,,,Urquiza,Guaymallén,Guaymallén,Guaymallén,Mendoza,Argentina,1,,,-32.8562713,-68.7362782,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210711,"Hospital Domingo Sicoli",Hospital,"Calle Belgrano",415,,,Lavalle,Lavalle,Lavalle,Mendoza,Argentina,1,,,-32.7212099,-68.5901492,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210712,"Cs Nº31 - David Busana","Centro de Salud","Federico Serpa",,,"Rep Del Libano","Luján de Cuyo","Luján De Cuyo","Luján De Cuyo",Mendoza,Argentina,1,,,-33.0355792,-68.8871143,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210713,"Chacras De Coria - Cs Nº 38","Centro de Salud",Italia,5600,,,"Luján de Cuyo","Luján De Cuyo","Luján De Cuyo",Mendoza,Argentina,1,,,-32.9853645,-68.8806155,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
210714,"Las Compuertas","Centro de Salud","Roque Sáenz Peña",8801,,,"Lujan De Cuyo","Luján De Cuyo","Luján De Cuyo",Mendoza,Argentina,1,,,-33.035374,-68.914767,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
