<<<<<<< HEAD
122582,"Unidad Sanitaria N° 14 Barrio Uta ","Centro de Salud Público","Calle 139 (bartolomé Mitre) º",1253,,,"Loma Hermosa","Loma Hermosa","General San Martín","Buenos Aires",Argentina,1,,,-34.5547405,-58.5924477,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(011) 4830-0711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122592,"Unidad Sanitaria N° 14 De Recalde",,"Jose Sanardi",,,"Calle 12 Esquina Sur",Recalde,Recalde,Olavarría,"Buenos Aires",Argentina,1,,,-36.652.657,-6.108.461.690.000.000,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,02314-499120,,,,,,"Las unidades sanitarias vacunan sólo lo requerido por reglamento sanitario internacional que es vacuna contra la fiebre amarilla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122602,"Unidad Sanitaria N° 15 (cic Santa Marta) De Merlo",,Zabaleta,,,"Mendez Barrio Santa Marta",Libertad,Libertad,Merlo,"Buenos Aires",Argentina,1,,,-347.003.212,-586.834.717,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,0220-4949911,,,,,,"Las unidades sanitarias vacunan sólo lo requerido por reglamento sanitario internacional que es vacuna contra la fiebre amarilla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122622,"Unidad Sanitaria N° 16 ","Centro de Salud Público","R. Gutierrez",1371,,,Crucesita,Crucesita,Avellaneda,"Buenos Aires",Argentina,1,,,-34.6615701,-58.3525386999999,1,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(011) 4205-0251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122632,"Unidad Sanitaria N° 16 ","Centro de Salud Público",5,,,"156 Uocra",Berazategui,Berazategui,Berazategui,"Buenos Aires",Argentina,1,,,-34.762001,-58.2112961,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122652,"Unidad Sanitaria N° 16 Salvador Mazza","Centro de Salud Público","Pasaje A",,,"Calle 68 (almirante Brown Nº 2850)","Villa Zagala","Villa Zagala","General San Martín","Buenos Aires",Argentina,1,,,-34.6036844,-58.3815591,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(011) 4754-5640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122662,"Unidad Sanitaria N° 16 Villa Magdalena",,"Calle 121 Villa Magdalena Nº",3082,,,Olavarría,Olavarría,Olavarría,"Buenos Aires",Argentina,1,,,-368.937.167,-6.032.334.989.999.990,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,02284-429119,,,"Dra. Marcela Esther Arias, M.P. N° 81.124",,,"Las unidades sanitarias vacunan sólo lo requerido por reglamento sanitario internacional que es vacuna contra la fiebre amarilla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122672,"Unidad Sanitaria N° 17","Centro de Salud Público",144,28,,,Berazategui,Berazategui,Berazategui,"Buenos Aires",Argentina,1,,,-34.7508819,-58.2237951999999,1,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Dra Marta Arevalo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122682,"Unidad Sanitaria N° 17 (los Talas)","Centro de salud",45,,,"171 y 172",Berisso,Berisso,Berisso,"Buenos Aires",Argentina,1,,,-34.8730675,-57.88371729999999,,0.5,NO,SI,NO,NO,NO,NO,NO,,,,,,,,"(0221) 462-0957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
122702,"Unidad Sanitaria N° 17 Damaso Arce De Olavarria",,"25 De Mayo",1125,,,Olavarría,Olavarría,Olavarría,"Buenos Aires",Argentina,1,,,-369.076.341,-603.332.299,1,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,02284-430023,,,,,,"Las unidades sanitarias vacunan sólo lo requerido por reglamento sanitario internacional que es vacuna contra la fiebre amarilla.",,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
