<<<<<<< HEAD
145532,"Centro de Salud El Palenque","Centro de Salud Público","Ruta  12",30,,,"El Palenque","El Palenque",Paraná,"Entre Ríos",Argentina,1,,,-31.7321572,-60.5479192,1,0.7,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0343) 4890147",,,"Londero Eugenio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145542,"Centro de Salud Emma G De Schurlein","Centro de Salud Público","Escuela N° 36","200 Mts Al Sur",,,"Estacion Yerua","Estacion Yerua",Concordia,"Entre Ríos",Argentina,1,,,-31.4705865,-58.26447519999999,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Andini Angel Claudio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145552,"Centro de Salud Enf. Tita Rosario Falcon","Centro de Salud Público","7 1 / 2 Km De Viale 20 De Junio",189,,,Tabossi,Tabossi,Paraná,"Entre Ríos",Argentina,1,,,-31.8023915,-59.9356355,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0343) 4970027",csfhoening@hotmail.com,,"Dra. Ciarroca Alicia Janet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145562,"Centro de Salud Enfermera Cristina Lechmann","Centro de Salud Público","Presidente Perón",210,,,"Aldea Maria Luisa","Aldea Maria Luisa",Paraná,"Entre Ríos",Argentina,1,,,-31.8846751,-60.4103223,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0343) 4996036",,,"Gervino Roxana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145572,"Centro de Salud Erardo Parma","Centro de Salud Público","Paraje Picada Beron",,,,"Picada Beron ","La Paz","La Paz","Entre Ríos",Argentina,1,,,-30.9363848,-59.4680006,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Dra Avila Noemi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145582,"Centro de Salud Estanislao Zeballos","Centro de Salud Público","Estanislao Zeballos",1059,,,,Paraná,Paraná,"Entre Ríos",Argentina,1,,,-31.7404266,-60.50736899999999,1,0.7,SI,NO,SI,NO,NO,NO,NO,"(0343) 4246059",,"Lun a Vie de 7 a 19 hs.",,,,,,,,,,,,"(03443) 4246059",,,"Lic. Vivas Graciela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145592,"Centro de Salud Farm . Juan H. Ghiano","Centro de Salud Público",Saburlin,,,Echaniz,Betbeder,Betbeder,Nogoyá,"Entre Ríos",Argentina,1,,,-31.7746654,-60.49564609999999,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Dra. Rocio Comelli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145602,"Centro de Salud Faustino Garcia","Centro de Salud Público","Velez Sarfield",,,"Sto. Cabral","Colonia Avigdor","Colonia Avigdor","La Paz","Entre Ríos",Argentina,1,,,-31.1832014,-59.4082982,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Dra. Cartagena Marianela",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145612,"Centro de Salud Feldman Waksmann","Centro de Salud Público","A 15 Km. Hasenkamp",,,,"Pueblo Bellocq (Est. Las Garzas)","Pueblo Bellocq (Est. Las Garzas)",Paraná,"Entre Ríos",Argentina,1,,,-31.4267911,-59.7442535,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(0343) 154058671",,,"Dra Iglesias Maria Eugenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
145622,"Centro de Salud Francisco Ramirez","Centro de Salud Público","A 4 Kms De La Comisaría",,,,Chañar,Federal,Federal,"Entre Ríos",Argentina,1,,,-31.2000008,-58.7000008,1,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Oviedo Silvana Raquel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
