<<<<<<< HEAD
<<<<<<< HEAD
208289,"C. A. P. S. Nº 13 - Parque Alvear","Centro de Salud Público",Colpayo,,,"Godoy Cruz","Malvinas Argentinas","Malvinas Argentinas","Malvinas Argentinas","Buenos Aires",Argentina,1,,,-34.4928801,-58.6642339,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208291,"C. A. P. S. Nº 20 - Las Flores",,Ancaste,,,Dumon,"Nueva Pompeya","Nueva Pompeya","Nueva Pompeya","Ciudad Autónoma De Buenos Aires",Argentina,-1,,"Ancaste, C1437 CABA, Argentina",-34.6483057,-58.408657,,,NO,NO,NO,SI,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208292,"C. A. P. S. Nº 16 - Bo. El Sol - Malvinas Argentinas","Centro de Salud Público","Gral. San Martín",,,"M Gandhi","Los Polvorines","Los Polvorines","Malvinas Argentinas","Buenos Aires",Argentina,1,,,-34.5033098,-58.7003515,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208293,"C. A. P. S. Nº 07 - Juan Vucetich","Centro de Salud Público",Guanacaste,,,Argentina,"José C. Paz","José C. Paz","José C. Paz","Buenos Aires",Argentina,1,,,-34.512745,-58.8017006,1,,SI,NO,SI,SI,NO,SI,NO,"(02320) 437098",,,,,,,,,,,,,,"(02320) 437098",,,,,,,"(02320) 437098",,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,"(02320) 437098",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208296,"C. A. P. S. Nº 33 - La Primavera","Centro de Salud Público","Sta Marta",,,Ayacucho,"José C. Paz","José C. Paz","José C. Paz","Buenos Aires",Argentina,1,,,-34.5250863,-58.7882856,1,,SI,NO,SI,SI,NO,SI,NO,"(02320) 451999",,,,,,,,,,,,,,"(02320) 451999",,,,,,,"(02320) 451999",,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,"(02320) 451999",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208297,"C. A. P. S. Nº 40 - Santa Maria","Centro de Salud Público","Santos Vega",,,,"Grand Bourg","Grand Bourg","Malvinas Argentinas","Buenos Aires",Argentina,1,,,-34.4956339,-58.7230255,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208298,"C. A. P. S. Nº 49 - 11 De Febrero","Centro de Salud Público","El Callao",1320,,,"Grand Bourg","Grand Bourg","Malvinas Argentinas","Buenos Aires",Argentina,1,,,-34.4982601,-58.7172145,1,,SI,NO,NO,SI,NO,SI,NO,"(02320) 40546",,,,,,,,,,,,,,,,,,,,,"(02320) 40546",,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,"(02320) 40546",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208299,"Unidad Sanitaria Nº 17 Dr. Federico Leloir - Bo. Obligado","Centro de Salud Público","Río Cuarto",2769,,,"Bella Vista","Bella Vista","San Miguel","Buenos Aires",Argentina,1,,,-34.581828,-58.6879452,1,,SI,NO,NO,SI,NO,SI,NO,"(011) 46664981",,,,,,,,,,,,,,,,,,,,,"(011) 46664981",,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,"(011) 46664981",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208300,"C. A. P. S. Nº 10 - Juramento","Centro de Salud Público",Castelli,1723,,,Moreno,Moreno,Moreno,"Buenos Aires",Argentina,1,,,-34.664896,-58.7946794,1,,SI,NO,SI,SI,NO,SI,NO,"(011) 4629951",,,,,,,,,,,,,,"(011) 4629951",,,,,,,"(011) 4629951",,,,,,"Ofrece asesoramiento sobre interrupción del embarazo",,,,,,,,"(011) 4629951",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
208301,"C. A. P. S. Nº 24 - Cortejarena","Centro de Salud Público","Sofocles E/ Palma Y La Rioja",1566,,,Moreno,Moreno,Moreno,"Buenos Aires",Argentina,1,,,-34.6340099,-58.791382,1,,SI,NO,SI,SI,NO,SI,NO,"(011) 4666916",,,,,,,,,,,,,,"(011) 4666916",,,,,,,"(011) 4666916",,,,,,"No esta confirmado que asesore o realice interrupción del embarazo",,,,,,,,"(011) 4666916",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
