106122,"11 De Febrero",,"Cabo Sosa","sin número",,"El Callao","Grand Bourg","Grand Bourg","Malvinas Argentinas","Buenos Aires",Argentina,1,,,-34.486068,-58.7250438,,0.5,SI,NO,NO,NO,NO,NO,NO,"(02320) 480546",,"De 8 a 18hs","Caino Margarita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106132,"2 De Abril",Municipal,Pico,850,,,Pergamino,Pergamino,Pergamino,"Buenos Aires",Argentina,1,,,-33.8822254,-60.5690889,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,02477-434693/423743,,,"Sin Dato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106142,"29 De Septiembre",Municipal,Letonia,,,"Rodrigo De Triana","San Miguel","San Miguel","San Miguel","Buenos Aires",Argentina,1,,,-34.5773956,-58.7322915,,0.7,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,011-44515843,,,"Sin Dato (pendiente De Resolución)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106152,A.T.T.T.A,,,"sin número",,,"Bahía Blanca","Bahía Blanca","Bahía Blanca","Buenos Aires",Argentina,1,,,-38.7183177,-62.2663478,,0.5,SI,NO,NO,NO,NO,NO,NO,0291-4530332,,,"Responsable: Carolina Martínez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106162,"Acción Social",Municipal,"Buen Viaje",968,,,,"Bahía Blanca",Morón,"Buenos Aires",Argentina,1,,,-34.651703,-58.6222108,,1,SI,NO,NO,NO,NO,NO,NO,"(011) 4489-7860",,,"Referente: Patricia Ramos Y Lucas Jaime",,,"2 Dispensers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106172,"Acción Social",Salud,Alcorta,340,,,,Morón,Moreno,"Buenos Aires",Argentina,1,,,-34.6590557,-58.7599379,,0.9,SI,NO,NO,NO,NO,NO,NO,"(0237) 4667788",,"Lunes a Viernes de 8:00 a 18:00 hs.",,,,"2 Dispensers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106182,"Administracion Nacional De Laboratorios E Institut",Nacional,Monteagudo,2510,,,Pergamino,Pergamino,Pergamino,"Buenos Aires",Argentina,1,,,-33.9112035,-60.5885537,,1,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"02477- 433044",asalas@anlis.gov.ar,,"Adriana Salas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106192,Adonis,"Boliche Bailable","Carolina Martínez","sin número",,,"Bahía Blanca","Bahía Blanca","Bahía Blanca","Buenos Aires",Argentina,1,,,-38.7183177,-62.2663478,,0.5,SI,NO,NO,NO,NO,NO,NO,,,,"Carolina Martínez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106202,"Agrupacion Aviacion",Ffaa/seguridad,"Ruta  8","Puerta 4",,,"Bella Vista","Bella Vista","San Miguel","Buenos Aires",Argentina,1,,,-34.5637055,-58.6903973,,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,1534146060,grachel100983@gmail.com,,"Leiva Graciela Beatriz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106212,"Altos Del Canal",Municipal,Maipú,,,"9 De Julio","Carmen De Areco","Carmen De Areco","Carmen De Areco","Buenos Aires",Argentina,1,,,-34.37093309999999,-59.8174186,,0.7,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Dra. Laura Graciela Gianolio, M.P. N° 63.302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
