209702,"Puesto Sanitario Chalacea",,"Calle Pública - A 2 Cuadras De Ruta Prov. 17",,,,Chalacea,Chalacea,"Río Primero",Córdoba,Argentina,1,,,-30.762136,-63.5590964,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209703,"Dispensario Comunal Comechingones",,Rivadavia,,,Medarda,"La Buena Parada","La Buena Parada","Río Primero",Córdoba,Argentina,1,,,-31.1702047,-63.6040573,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209704,"Centro De Salud Colonia Cuatro Esquinas",,"Arturo H Illia ",,,,"Colonia las Cuatro Esquinas","Colonia las Cuatro Esquinas","Río Primero",Córdoba,Argentina,1,,,-31.2079948,-63.223266,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209705,"Dispensario Comunal Diego De Rojas",,"Pasaje 9 De Julio ",152,,,"Diego de Rojas","Diego de Rojas","Río Primero",Córdoba,Argentina,1,,,-31.0285628,-63.3383178,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209706,"Ps El Crispin",,"Publica - A Una Cuadra De La Iglesia",,,,"El Crispín","El Crispín","Río Primero",Córdoba,Argentina,1,,,-31.019083,-63.6059745,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209707,"Dispensario Comunal Esquina",,"Virgen Del Rosario",,,"Libertad ","Río Primero","Río Primero","Río Primero",Córdoba,Argentina,1,,,-31.078045,-63.7955653,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209708,"Hospital Municipal La Para",,"Julio A Roca",828,,,"La Para","La Para","Río Primero",Córdoba,Argentina,1,,,-30.8923643,-62.9996212,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209709,"Centro Integrador Comunitario Cic La Posta",,"San Martin",,,"25 De Mayo","La Posta","La Posta","Río Primero",Córdoba,Argentina,1,,,-30.5642989,-63.5164393,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209710,"Dispensario Municipal La Puerta",,"Avenida Sargento Cabral",680,,,"Río Primero","Río Primero","Río Primero",Córdoba,Argentina,1,,,-31.3283273,-63.6240956,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209711,"Cs Comunal Las Gramillas",,"Lorenzo Rinaudo ",,,,"Río Primero","Río Primero","Río Primero",Córdoba,Argentina,1,,,-31.1316849,-63.2288198,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209712,"Centro De Salud Las Saladas",,"Jorge Castellanos",,,,"Las Saladas","Las Saladas","Río Primero",Córdoba,Argentina,1,,,-30.7600643,-63.2050292,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209713,"Dispensario Monte Cristo",,"Av. Int. David Linares",385,,,"Monte Cristo","Monte Cristo","Río Primero",Córdoba,Argentina,1,,,-31.3409545,-63.9495374,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209714,"Estacion Sanitaria Monte Del Rosario ",,"Zona Rural",,,,"Monte del Rosario","Monte del Rosario","Río Primero",Córdoba,Argentina,1,,,-30.9831604,-63.6014608,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209715,"Hosp. Munic. Obispo Trejo",,"Obispo Trejo",1150,,,Córdoba,Córdoba,"Río Primero",Córdoba,Argentina,1,,,-30.7832597,-63.408092,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
209716,"Dispensario Comunal Km 658 - Pedro E. Vivas",,"Martin Miguel De Guemes",,,"9 De Julio ","Pedro E. Vivas","Pedro E. Vivas","Río Primero",Córdoba,Argentina,1,,,-31.3705522,-63.5297933,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
