212722,"Unidad Sanitaria Nº 39 Villa Esperanza","Centro de salud ","G. Ugarte",,,Hernandarias,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.72053532,-58.41614107,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42860296,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212723,"Unidad Sanitaria Nº 9 El Triangulo","Centro de salud ",Osorio,2099,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.67780849,-58.42361622,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212724,"Unidad Sanitaria Miranda Norgreen","Centro de salud ",Murature,4114,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.69934132,-58.4328111,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42869778,secsalud@lanus.mun.gba.gov.ar,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212725,"Unidad Sanitaria Intermedia Valentin Alsina","Centro de salud ","Paso de",777,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.67080842,-58.40848001,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42085555,secsalud@lanus.mun.gba.gov.ar,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212726,"Centro De Salud Eden Argentino","Centro de salud ","San Martín",4057,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.7112244,-58.42365065,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42675753,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212727,"Unidad Sanitaria Lanús Oeste","Centro de salud ","25 de Mayo",707,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.706434,-58.40231456,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42417777/2305,secsalud@lanus.mun.gba.gov.ar,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212728,"Centro De Salud Unidad Sanitaria Ramon Carrillo","Centro de salud ","M. Avellaneda",4860,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.69271156,-58.43175526,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42289555,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212729,"Centro De Salud Eva Peron","Centro de salud ","Eva Perón",270,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.69563869,-58.43943916,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212730,"Centro De Salud Nº 19 Balcarce","Centro de salud ","G. Ugarte",,,"Quino Costa","Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.71789273,-58.41116651,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42673971,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
212731,"Unidad Sanitaria Nº 45 Villa Eslovena","Centro de salud ",Colón,2475,,,"Lanus Oeste","Lanús Oeste",Lanús,"Buenos Aires",Argentina,1,,,-34.71767182,-58.4196913,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011-42673419,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
