213561,Caps,"Centro de salud público","Tacuarí y rocamora",,,"Entre santa catalina y tomas guido (Frente a la comisaria 2da)",,Posadas,Posadas,Misiones,Argentina,-1,,,-27.3965398,-55.9649018,1,,SI,NO,SI,NO,NO,SI,NO,,,24hs,,,,,,,,,,,,,,24hs,,,,,,,,,,,,,,,,,,,,,24hs,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213562,"Hospital nivel 1","Hospital Público","Av.El Libertador",,,,,"General Manuel Belgrano","General Manuel Belgrano",Misiones,Argentina,-1,,,-26.2511091,-53.6492733,,,SI,SI,SI,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213564,"Programa provincial de vhi/sida e ITS","Organismo público","Av. Quaranta",,,147,,Posadas,Posadas,Misiones,Argentina,-1,,,-27.3957697,-55.9649997,1,,SI,NO,SI,SI,SI,SI,NO,"(0376) 459-7806",,"De lunes a viernes de 7 a 12","Dra Maria Andrea Silvero Gallardo",,,,,,,,,,,"(0376) 459-7806",,"De lunes a viernes de 7 a 12","Dra Maria Andrea Silvero Gallardo",,,,"(0376) 459-7806",,"De lunes a viernes de 7 a 12","Dra Maria Andrea Silvero Gallardo",,,"No esta confirmado que asesore o realice interrupción legal del embarazo",376_4597806,,"De lunes a viernes de 7 a 12","Dra Maria Andrea Silvero Gallardo",,,,376_4597806,,"De lunes a viernes de 7 a 12","Dra Maria Andrea Silvero Gallardo",,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213565,"Hospital Virgen de Fátima","Hospital Público","Avenida Jorge Kemerer",,,,,Garupa,Capital,Misiones,Argentina,1,,,-27.3965398,-55.9649018,1,,SI,NO,SI,NO,SI,SI,NO,"(0376) 4409118",,"24 hs",,,,,,,,,,,,"(0376) 440-9118",,"24 hs",,,,,,,,,,,,,,,,,,,3764409118,,"24 hs",,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213567,"Hospital Baliña (caps 16)","Hospital Público","(Av. Cuaranta (ruta 12) SN y av 147)",,,,Posadas,Posadas,Posadas,Misiones,Argentina,-1,,,-27.3965398,-55.9649018,1,,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213568,"Portal de la Salud","Centro de Salud Público","Av. República Argentina",,,,,"General Manuel Belgrano","General Manuel Belgrano",Misiones,Argentina,-1,,,-26.0559463,-53.7365341,1,,SI,NO,NO,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07 a 12  y 15 a 20 hs",,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213570,"Bop nro 102",,1550,,,"Tiquini y lilo ramirez","Colonia aeroparque",Posadas,Posadas,Misiones,Argentina,-1,,,,,1,,SI,NO,NO,NO,NO,NO,NO,,,"24 horas",Montorfano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213571,"Consultorio Externo","Centro de Salud Público","Av. Lopez Torres y Av. Cabred",,,,Posadas,Posadas,Posadas,Misiones,Argentina,-1,,,,,1,,SI,NO,NO,SI,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,"De 6 a 18 de lunes a viernes",,,,"No esta confirmado que asesore o realice interrupción legal del embarazo",,,"De 6 a 18 de lunes a viernes",,,,,,,"De 6 a 18 de lunes a viernes",,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213574,"Asociación Colectivo 108","Organización Social",Belgrano,2270,"Entre San Luis y Junin",,,Posadas,Capital,Misiones,Argentina,1,,,-27.39644318,-55.96483775,1,,SI,NO,NO,NO,NO,SI,NO,"(0376) 486-5759",colectivo108@hotmail.com,"Martes y jueves de 16 a 19","Nicolás Pintos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764-865759,colectivo108@hotmail.com,"Martes y jueves de 16 a 19","Nicolás Pintos",,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213575,"Capas n20","Centro de Salud Público","Av.alberto Roth y Las flores",,,,Garupa,Garupa,Posadas,Misiones,Argentina,-1,,,-27.3966396,-55.9649344,,,SI,NO,SI,NO,NO,SI,NO,"3764 488437",,,,,,,,,,,,,,"(03764) 488437",,,,,,,,,,,,,,,,,,,,,"3764 488437",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213577,"San Luis Gonzaga","Centro de Salud Público","Avda. San Luis Gonzaga",,,,Capioví,Capiovi,"Libertador General San Martín",Misiones,Argentina,-1,,,-26.820361,-54.9562728,,,SI,NO,NO,NO,NO,NO,NO,,,"24 hs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213578,"Hospital Fatima","Hospital Público","(C comunitario E 3 y 13- B° Estima A 3-1)",,,,Posadas,Posadas,Posadas,Misiones,Argentina,-1,,,-27.3957664,-55.9646951,1,,SI,NO,SI,NO,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213579,"Hospital Del Area De Jardín América","Hospital Pública",Aconcagua,55,,,"Jardin America","Jardin America","San Ignacio",Misiones,Argentina,-1,,,-27.3957697,-55.9649997,,,SI,SI,SI,NO,SI,SI,NO,"3743 460174",,"24 hs",,,,,"3743 460174",,"24 hs",,,,,"3743 460174",,"24 hs",,,,,,,,,,,,"3743 460174",,"24 hs",,,,,"3743 460174",,"24 hs",,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213582,"Dirección de Diversidad LGBTIQ Social y Étnica","Organismo público",Francia,840,"1er piso",,"Comodoro Rivadavia","Comodoro Rivadavia",Escalante,Chubut,Argentina,1,,,-45.8616852,-67.4893242,1,,SI,NO,NO,NO,NO,SI,NO,"(0297) 4441996",diversidadmcr@gmail.com,"8 a 15 hs.","Daniela Andrade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0297) 4441996",diversidadmcr@gmail.com,"8 a 15 hs.","Daniela Andrade",,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213583,"Hospital Pedro de Elizalde","Hospital público","Av. Montes de Oca",40,,Caseros,Constitución,Constitución,"COMUNA 1","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6290013,-58.3771402,1,,SI,SI,SI,SI,SI,SI,NO,"(011) 4363-2100 al 2200",,,,http://www.buenosaires.gob.ar/hospitalpedroelizalde,,,"(011) 4363-2100 al 2200",,,,www.elizalde.gov.ar,,,"(011) 4363-2100 al 2200",,,,http://www.buenosaires.gob.ar/hospitalpedroelizalde,,,"(011) 4363-2100 al 2200",,,,,,"Ofrece asesoramiento sobre interrupción legal del embarazo y derivación.",,,,,,,,"(011) 4363-2100 al 2200",,,,http://www.buenosaires.gob.ar/hospitalpedroelizalde,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213584,"Asistencia Publica",,Catamarca,,,"Catamarca esquina Lisandro de la torre",Centro,Centro,"General San Martín",Córdoba,Argentina,-1,,,,,,,SI,SI,SI,NO,SI,SI,NO,3534520357,its.salud@villamaria.gob.ar,"24 hs","Noelia Carreño","www. Villamaria.gob.ar",,,3534520357,its.salud@villamaria.gob.ar,"24 hs","Noelia Carreño","www. Villamaria.gob.ar",,,3534520357,its.salud@villamaria.gob.ar,"24 hs","Noelia Carreño","www. Villamaria.gob.ar",,,,,,,,,,03534520357,its.salud@villamaria.gob.ar,"24 hs","Noelia Carreño","www. Villamaria.gob.ar",,,3534520357,its.salud@villamaria.gob.ar,"24 hs","Noelia Carreño","www. Villamaria.gob.ar",,,,,,,,,NO,NO,NO,NO,NO,NO,,,
213591,"Centro Integral de Salud Sexual y Reproductiva",Privado,"Fray Justo Santa Maria de Oro",4630,,,Caseros,Caseros,"Tres De Febrero","Buenos Aires",Argentina,1,,,-34.5961575,-58.5603198,1,,SI,NO,NO,SI,NO,SI,NO,"(011) 4734-4335 // WhatsApp: 1161874697",consultoriossyr@gmail.com,"Lunes, miércoles, jueves y viernes de 14 a 20 hs. Sábados de 9 a 13 hs.",,,,,,,,,,,,,,,,,,,"(011) 4734-4335 // WhatsApp: 1161874697",consultoriossyr@gmail.com,"Lunes, miércoles, jueves y viernes de 14 a 20 hs. Sábados de 9 a 13 hs.",,,,"Ofrece asesoramiento sobre interrupción legal del embarazo y derivación.",,,,,,,,"(011) 4734-4335 // WhatsApp: 1161874697",consultoriossyr@gmail.com,"Lunes, miércoles, jueves y viernes de 14 a 20 hs. Sábados de 9 a 13 hs.",,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
