134512,"Centro Médico Barrial N° 19",,Coligüe,2977,,,"Villa Real","Villa Real","Villa Real","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6137194,-58.5267246,1,1,SI,NO,NO,NO,NO,NO,NO,4566-8314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134522,"Centro Médico Barrial N° 2",,"Av. Juan B. Justo",6162,,,"Villa Santa Rita","Villa Santa Rita","Villa Santa Rita","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6218063,-58.4803163,1,1,SI,NO,NO,NO,NO,NO,NO,4583-2892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134532,"Centro Médico Barrial N° 20",,Araujo,1246,,,"Parque Avellaneda","Parque Avellaneda","Parque Avellaneda","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.649304,-58.4945059,1,0.9,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134542,"Centro Médico Barrial N° 23",,Tejedor,251,,,"Parque Chacabuco","Parque Chacabuco","Parque Chacabuco","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6297781,-58.4296682,1,1,SI,NO,NO,NO,NO,NO,NO,4923-8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134552,"Centro Médico Barrial N° 25",,Echeandia,3417,,,"Parque Avellaneda","Parque Avellaneda","Parque Avellaneda","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6478925,-58.4650492,1,1,SI,NO,NO,NO,NO,NO,NO,4637-8831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134562,"Centro Médico Barrial N° 27",,Antezana,340,,,"Villa Crespo","Villa Crespo","Villa Crespo","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6051698,-58.4449113,1,1,SI,NO,NO,NO,NO,NO,NO,4854-8737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134572,"Centro Médico Barrial N° 28",,Echeandia,5567,,,"Villa Lugano","Villa Lugano","Villa Lugano","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6658586,-58.4849547,1,1,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134582,"Centro Médico Barrial N° 29",,Saavedra,205,,,Balvanera,Balvanera,Balvanera,"Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.612402,-58.403321,1,0.9,SI,NO,NO,NO,NO,NO,NO,4951-2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134592,"Centro Médico Barrial N° 3",,"Av. Juan B. Justo",9668,,,Liniers,Liniers,Liniers,"Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6346229,-58.5263547,1,0.9,SI,NO,NO,NO,NO,NO,NO,4644-5654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134602,"Centro Médico Barrial N° 30",,"Arzobispo Espinosa",1211,,,Barracas,Barracas,Barracas,"Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6335399,-58.3705343,1,1,SI,NO,NO,NO,NO,NO,NO,4307-8377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134612,"Centro Médico Barrial N° 4",,"Av. Carabobo",801,,,Flores,Flores,Flores,"Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6356266,-58.4525164,1,1,SI,NO,NO,NO,NO,NO,NO,4632-7525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134622,"Centro Médico Barrial N° 5",,Nogoyá,4302,,,"Villa Devoto","Villa Devoto","Villa Devoto","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.610851,-58.5052687,1,0.9,SI,NO,NO,NO,NO,NO,NO,4639-5229,,"de 11 A 16 HORAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134632,"Centro Médico Barrial N° 6",,"Estados Unidos",1936,,,"San Cristóbal","San Cristóbal","San Cristóbal","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6195845,-58.3936481,1,1,SI,NO,NO,NO,NO,NO,NO,4308-6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134642,"Centro Médico Barrial N° 7",,Acassuso,5402,,,"Villa Luro","Villa Luro","Villa Luro","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6409397,-58.505279,1,0.9,SI,NO,NO,NO,NO,NO,NO,4682-8673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134652,"Centro Médico Barrial N° 8",,"La Capital",1131,,,"Parque Chacabuco","Parque Chacabuco","Parque Chacabuco","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6411395,-58.4320524,1,0.9,SI,NO,NO,NO,NO,NO,NO,4924-0461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134662,"Centro Médico Barrial N° 9",,Albariño,3512,,,"Villa Lugano","Villa Lugano","Villa Lugano","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6698595,-58.4714593,1,0.9,SI,NO,NO,NO,NO,NO,NO,4601-2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134682,"Centro Nacional de Referencia para el Sida",,Paraguay,2155,11,,Recoleta,Recoleta,Recoleta,"Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.5980379,-58.398271,1,1,SI,NO,NO,NO,NO,NO,NO,4508-3671/3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134692,"Centro Torquato Tasso",,Olavarría,740,,,"La Boca","La Boca","La Boca","Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6382338,-58.3632338,1,1,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134702,"Centro Vecinal Balvanera",,Saavedra,84,,,Balvanera,Balvanera,Balvanera,"Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6109279,-58.4033446,1,0.9,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134712,"Cesac N ° 33",,"Av. Córdoba",5741,,,Palermo,Palermo,Palermo,"Ciudad Autónoma De Buenos Aires",Argentina,-1,,,-34.586334,-58.441661,,1,SI,SI,NO,NO,NO,NO,NO,5197-5079,,,,http://www.buenosaires.gob.ar/areas/salud/sida/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
134722,"CeSAC N° 1",,"Av. Vélez Sarsfield",1271,,,Barracas,Barracas,Barracas,"Ciudad Autónoma De Buenos Aires",Argentina,1,,,-34.6492763,-58.38937768,1,0,SI,NO,SI,SI,NO,SI,NO,"4302-0059 / 2678 / 4303-2634",,,,,,,,,,,,,,"4302-0059 / 2678 / 4303-2634",,,,,,,"4302-0059 / 2678 / 4303-2634",,,,,,,,,,,,,,"4302-0059 / 2678 / 4303-2634",,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
