211707,"Unidad Sanitaria De Colegiales","Centro de salud ","Pedro N Carrera",1293,,,"Tres Arroyos","Tres Arroyos","Tres Arroyos","Buenos Aires",Argentina,1,,,-38.3913636,-60.2822693,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02983-15521194,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211708,"Unidad Sanitaria Villa Italia","Centro de salud ","Victor Manuel",674,,,"Tres Arroyos","Tres Arroyos","Tres Arroyos","Buenos Aires",Argentina,1,,,-38.3617716,-60.2697872,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02983-15521295,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211709,"Unidad Sanitaria Barrio Fonavi Terminal","Centro de salud ",Uruguay,330,,,"Tres Arroyos","Tres Arroyos","Tres Arroyos","Buenos Aires",Argentina,1,,,-38.3654687,-60.2828249,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02983-15401473,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211710,"Centro De Atención Primaria De La Salud Benito Mac...","Centro de salud ","20 de Abril",1174,,,"Tres Arroyos","Tres Arroyos","Tres Arroyos","Buenos Aires",Argentina,1,,,-38.3761326,-60.2536389,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211711,"Hospital Menor Antonio D. Bertoni De Algarrobo",Hospital,Alvear,640,,,Villarino,Villarino,Villarino,"Buenos Aires",Argentina,1,,,-38.8923097,-63.1321755,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02927-491219,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211712,"Centro Asistencial De H. Ascasubi","Centro de salud ","Ingeniero Urgoiti",269,,,"Hilario Ascasubi","Hilario Ascasubi",Villarino,"Buenos Aires",Argentina,1,,,-39.3760529,-62.6455803,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02928-491055,caascasubi@luronet.com.ar,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211713,"Hospital Menor Juan Bautista Sartori",Hospital,Juan,845,,,"Mayor Buratovich","Mayor Buratovich",Villarino,"Buenos Aires",Argentina,1,,,-39.2592545,-62.6145058,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0291-4917174,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211714,"Sala De Primeros Auxilios Eduardo Roassio","Centro de salud ",3,,,8,"Teniente Origone","Teniente Origone",Villarino,"Buenos Aires",Argentina,1,,,-39.0590363,-62.570816,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0291-491100,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211715,"Centro De Atención Primaria De La Salud 1","Centro de salud ","Calle 1",320,,,Villarino,Villarino,Villarino,"Buenos Aires",Argentina,1,,,-39.5049629,-62.6821139,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211716,"Centro De Atención Primaria De La Salud 3","Centro de salud ","Martín Fierro",,,"Rivadavia FONAVI",Medanos,Médanos,Villarino,"Buenos Aires",Argentina,1,,,-38.8283463,-62.6936417,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02927-433138,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211717,"Centro De Atención Primaria De La Salud 4","Centro de salud ",7,,,30,"Mayor Buratovich","Mayor Buratovich",Villarino,"Buenos Aires",Argentina,1,,,-39.2612695,-62.616315,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0291-4917281,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211718,"Unidad Sanitaria Bellocq","Centro de salud ","Adolfo Bellocq",,,19,"Carlos Casares","Carlos Casares","Carlos Casares","Buenos Aires",Argentina,1,,,-35.9282058,-61.4853971,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02395-494001,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211719,"Hospital Local Especializado Materno Infantil",Hospital,Lamadrid,185,,,"Carlos Casares","Carlos Casares","Carlos Casares","Buenos Aires",Argentina,1,,,-35.622685,-61.3609242,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02395-452557,materno@casares.gov.ar,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211720,"Unidad Sanitaria Dr. Albert Schweitzer","Centro de salud ",Hortensia,,,,Hortensia,Hortensia,"Carlos Casares","Buenos Aires",Argentina,1,,,-35.9258575,-61.261219,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211721,"Unidad Sanitaria Smith","Centro de salud ",Patagonia,,,Corrientes,"Carlos Casares","Carlos Casares","Carlos Casares","Buenos Aires",Argentina,1,,,-35.4978097,-61.5925966,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02395-492013,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
211722,"Centro Periferico Evita","Centro de salud ",Huracán,,,,"Carlos Casares","Carlos Casares","Carlos Casares","Buenos Aires",Argentina,1,,,-35.6226826,-61.3639978,1,,SI,NO,NO,SI,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
